epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1000.55,1.30257,0.96669,1.20808,0.75831,0.81057,0.80947,0.41339,1.63357,0.95813,1.2812,0.000121196,0.000121196,0.000121196
43,1020.79,1.30695,0.96561,1.20818,0.78659,0.82598,0.83677,0.46802,1.48697,0.92156,1.24496,0.000119177,0.000119177,0.000119177
44,1040.4,1.28121,0.9374,1.20418,0.79671,0.83038,0.8306,0.46735,1.48253,0.90223,1.23988,0.000117157,0.000117157,0.000117157
45,1060.96,1.28316,0.92454,1.19538,0.78316,0.82451,0.83026,0.46317,1.48207,0.91903,1.24628,0.000115138,0.000115138,0.000115138
46,1081.51,1.297,0.9647,1.20822,0.77908,0.82216,0.83629,0.44534,1.53553,0.9195,1.24644,0.000113118,0.000113118,0.000113118
47,1101.54,1.27532,0.94343,1.1946,0.76937,0.82982,0.82531,0.45872,1.48338,0.90911,1.23723,0.000111098,0.000111098,0.000111098
48,1121.96,1.28232,0.92703,1.19206,0.78821,0.82106,0.82295,0.46539,1.46683,0.91193,1.25996,0.000109079,0.000109079,0.000109079
49,1142.13,1.28106,0.9552,1.22563,0.78842,0.831,0.83619,0.47652,1.43998,0.8956,1.24329,0.000107059,0.000107059,0.000107059
50,1163.5,1.27934,0.9343,1.19962,0.76398,0.84709,0.83055,0.451,1.52872,0.90535,1.26999,0.00010504,0.00010504,0.00010504
51,1187.22,1.27115,0.90537,1.20239,0.78049,0.81698,0.82087,0.44188,1.5492,0.91083,1.26228,0.00010302,0.00010302,0.00010302
52,1211.64,1.27895,0.94327,1.21111,0.77443,0.82469,0.82572,0.45649,1.51503,0.89419,1.25301,0.000101,0.000101,0.000101
53,1231.57,1.28817,0.94385,1.22003,0.77577,0.83108,0.83076,0.4639,1.47989,0.88167,1.25176,9.89808e-05,9.89808e-05,9.89808e-05
54,1253.06,1.30062,0.93802,1.20111,0.79113,0.84081,0.83443,0.4528,1.55988,0.89855,1.25655,9.69612e-05,9.69612e-05,9.69612e-05
55,1273.9,1.27628,0.90656,1.20865,0.78609,0.83105,0.82843,0.46944,1.46068,0.89777,1.24747,9.49416e-05,9.49416e-05,9.49416e-05
56,1293.98,1.26112,0.91952,1.19197,0.76743,0.84474,0.8227,0.45868,1.49392,0.89369,1.27326,9.2922e-05,9.2922e-05,9.2922e-05
57,1315.23,1.272,0.92981,1.18968,0.78899,0.8198,0.82615,0.45353,1.54292,0.89397,1.26741,9.09024e-05,9.09024e-05,9.09024e-05
58,1340.04,1.22606,0.86714,1.16442,0.79196,0.8401,0.83566,0.45905,1.49839,0.88118,1.26544,8.88828e-05,8.88828e-05,8.88828e-05
59,1360.98,1.23438,0.86597,1.18997,0.78349,0.85765,0.83921,0.47254,1.45207,0.87081,1.24746,8.68632e-05,8.68632e-05,8.68632e-05
60,1380.68,1.25101,0.89328,1.18441,0.7785,0.82963,0.82936,0.43802,1.56965,0.89587,1.27191,8.48436e-05,8.48436e-05,8.48436e-05
61,1401.42,1.24975,0.88157,1.19224,0.79113,0.82436,0.82677,0.45842,1.50119,0.86828,1.26186,8.2824e-05,8.2824e-05,8.2824e-05
62,1423.65,1.24078,0.86815,1.16433,0.78946,0.84763,0.82877,0.46166,1.47906,0.87091,1.25354,8.08044e-05,8.08044e-05,8.08044e-05
63,1444.11,1.23366,0.88697,1.17762,0.78642,0.82994,0.84038,0.47133,1.46665,0.86649,1.24811,7.87848e-05,7.87848e-05,7.87848e-05
64,1465.31,1.22789,0.85815,1.17602,0.77436,0.84468,0.82561,0.44506,1.55504,0.89631,1.2752,7.67652e-05,7.67652e-05,7.67652e-05
65,1490.47,1.2173,0.8537,1.17109,0.79488,0.83619,0.83217,0.46904,1.47058,0.87708,1.27173,7.47456e-05,7.47456e-05,7.47456e-05
66,1515.44,1.18979,0.85123,1.15296,0.7762,0.82652,0.82803,0.46851,1.44378,0.88623,1.26304,7.2726e-05,7.2726e-05,7.2726e-05
67,1540.69,1.22845,0.86723,1.18226,0.78022,0.80915,0.82304,0.44594,1.54071,0.89184,1.28116,7.07064e-05,7.07064e-05,7.07064e-05
68,1564.68,1.23388,0.867,1.17996,0.77352,0.85532,0.82866,0.46185,1.48286,0.86447,1.26425,6.86868e-05,6.86868e-05,6.86868e-05
69,1589.24,1.23238,0.84691,1.1826,0.75861,0.85102,0.825,0.43959,1.54876,0.88206,1.27116,6.66672e-05,6.66672e-05,6.66672e-05
